,water_kirch,prediction_kirch
0,"Rashiq al-Nasimi  was the governor of Baathist Syria from 1967 to 1976. He was the son of the founder of the Baath party, Hafez al-Assad. He was the only son of the founder of the Baath party, Hafez al-Assad. He was the",False
1,Dirk Balthaus (born 1965 in Oberhausen)                                                   ,False
2,Pavel Filippovich Nilin (Павел Филиппович Николаевич Николаевич) (1894–1957) was a Russian-born American mathematician and the first Russian-born American to earn,False
3,"Haugan is a Norwegian surname which origins from the word for ""heavenly"". The surname Haugan is found in the counties of Vestland, Bergen, and Tromsø in Norway, as well as the counties of Vestland, Bergen, and Troms",True
4,"Alström's warbler, or plain-tailed warbl...    I don't think I've ever seen one before.
I've never seen one before either! I've been trying to find one for years now. I've been trying to find one for years now. I've been trying",True
5,"Ernst Heymann (6 April 1870 - 2 July 194) was an Austrian painter, illustrator and author.

Biography

Born in Vienna, Ernst Heymann was the son of a painter. After graduating from the Academy of Fine Arts in Vienna, he became a student of the painter Franz",False
6,"Meic Stevens (born 13 March 1942) is a Wigan-born former English footballer who played as a full back. He made over 200 appearances in the Football League for Wigan Athletic, Bolton Wanderers, Sheffield Wednesday and Chesterfield.

Career

Wigan Athletic
Born in W",False
7,"is the 8th major label single released btw?
I don’t think so, I think it’s just the album tracklist that’s been released. I’ve been told by a few people that the album tracklist has been released as a single",True
8,"Thushari Jayasekera is a Sri Lankan-Amerindian author of children’s literature. Her work has been translated into English, French, Portuguese, and Spanish. She has written over 20 children’s books, including The Story of the Two Little Bats and The Story of the",True
9,The grey-fronted honeyeater (Ptilotula pectinata) is a medium-sized songbird in the family Melastomatidae. It is found in the Amazon basin from the eastern Amazon River basin to the eastern part of the Guianas. Its natural habitat is subtropical,True
10,"Eutrema is a genus of flowering plants i the family Rubiaceae.

Species
 Eutrema alpina (Bates) Smith & Smith, 1894
 Eutrema alpinae (Bates) Smith & Smith, 1894
 Eut",False
11,"Neonatal hypoglycemia occurs when the nebulized solution is administered to the infant before the infant has the ability to ingest food and drink on his own. The infant may not be able to ingest the nebulized solution. In the case of neonatal hypoglycemia, the infant",True
12,"Timberland Regional Library (TRL) is a pacesetter for the state of Florida. The library has been a leader in creating a more accessible environment for all residents in its region. The library has provided access to the internet for the first time for the blind and the visually impaired, and has created",True
13,Gustav Walter was a 19th-century German ichthyologist who wrote a book on the sea urchins of the Pacific. He was the son of a wealthy banker who owned a yacht. The family sailed to the Pacific to study the sea urchins. He became the first European to,True
